,per_blue_win,per_red_win,minute,predicted_label,label
4864,0.92,0.08,18,1,1
16121,0.48,0.52,7,0,0
4856,0.01,0.99,33,0,0
921,0.46,0.54,13,0,0
18133,0.72,0.28,19,1,0
1991,0.15,0.85,25,0,0
10523,0.54,0.46,5,1,1
81,0.46,0.54,4,0,1
15495,0.08,0.92,34,0,0
1301,0.07,0.93,29,0,0
4530,0.67,0.33,14,1,0
20076,0.54,0.46,11,1,1
13825,0.0,1.0,32,0,0
19025,0.36,0.64,21,0,0
11725,0.93,0.07,23,1,1
7045,0.49,0.51,4,0,0
16343,0.41,0.59,12,0,1
419,0.67,0.33,14,1,1
15745,0.99,0.01,33,1,1
18586,0.0,1.0,28,0,0
17100,0.58,0.42,20,1,1
7812,0.09,0.91,22,0,0
18115,0.02,0.98,25,0,0
6954,0.95,0.05,36,1,1
6529,0.95,0.05,24,1,1
5567,0.35,0.65,24,0,1
6948,0.55,0.45,1,1,0
15299,0.89,0.11,34,1,1
5238,0.97,0.03,32,1,1
9444,0.55,0.45,6,1,0
13023,0.39,0.61,10,0,0
5539,0.69,0.31,16,1,1
5857,0.17,0.83,22,0,0
2939,0.38,0.62,13,0,0
8882,0.07,0.93,33,0,0
2079,0.8,0.2,21,1,1
16206,0.91,0.09,33,1,1
12453,0.98,0.02,33,1,1
11150,0.37,0.63,20,0,0
20064,0.56,0.44,8,1,0
10437,0.49,0.51,0,0,0
1436,0.39,0.61,15,0,1
19365,0.6,0.4,15,1,1
17004,0.99,0.01,26,1,1
21460,0.68,0.32,26,1,1
2979,0.47,0.53,4,0,0
9123,0.94,0.06,28,1,0
15944,0.5,0.5,8,1,0
7166,0.96,0.04,29,1,0
8155,0.32,0.68,25,0,0
15614,0.53,0.47,15,1,0
17697,0.45,0.55,0,0,0
6607,0.99,0.01,34,1,1
15410,0.36,0.64,11,0,0
7569,0.39,0.61,13,0,0
15846,0.17,0.83,25,0,0
9390,0.99,0.01,26,1,1
13064,0.05,0.95,28,0,0
1841,0.53,0.47,2,1,0
20629,0.49,0.51,24,0,1
20654,1.0,0.0,33,1,1
9253,0.47,0.53,4,0,1
10635,0.58,0.42,19,1,0
20223,1.0,0.0,35,1,1
12487,0.48,0.52,2,0,0
18618,0.77,0.23,32,1,1
8153,0.43,0.57,11,0,0
1350,0.29,0.71,23,0,0
14999,0.79,0.21,22,1,1
12646,0.02,0.98,23,0,0
1869,0.0,1.0,33,0,0
3484,0.07,0.93,21,0,0
13219,0.01,0.99,32,0,0
11342,0.89,0.11,24,1,0
11749,0.99,0.01,35,1,1
2525,0.65,0.35,7,1,1
10028,0.51,0.49,6,1,0
18066,0.54,0.46,17,1,0
14869,0.28,0.72,26,0,0
20651,0.52,0.48,13,1,1
12508,0.72,0.28,15,1,0
2552,0.94,0.06,31,1,1
18259,0.41,0.59,9,0,0
2055,0.46,0.54,5,0,1
19055,0.0,1.0,33,0,0
7956,0.55,0.45,20,1,0
5606,0.24,0.76,25,0,0
17401,0.49,0.51,16,0,1
12885,0.45,0.55,16,0,1
21282,0.51,0.49,8,1,0
15409,0.47,0.53,6,0,1
16364,0.29,0.71,12,0,1
6261,0.23,0.77,2,0,0
9807,0.47,0.53,2,0,1
13119,0.46,0.54,32,0,1
16295,0.47,0.53,20,0,1
938,0.27,0.73,14,0,0
16375,0.37,0.63,14,0,1
17114,0.98,0.02,23,1,1
10678,0.47,0.53,0,0,0
14154,0.14,0.86,26,0,0
19930,0.09,0.91,28,0,0
7088,1.0,0.0,29,1,1
6945,0.98,0.02,29,1,1
9970,0.92,0.08,23,1,0
12966,0.48,0.52,2,0,1
6691,0.51,0.49,11,1,0
3128,0.0,1.0,31,0,0
6714,0.06,0.94,29,0,0
21198,0.48,0.52,34,0,1
11870,0.51,0.49,0,1,1
15209,0.74,0.26,18,1,0
1295,0.42,0.58,11,0,1
16390,0.78,0.22,16,1,0
866,0.39,0.61,15,0,1
11529,0.42,0.58,10,0,0
20252,0.39,0.61,11,0,0
20169,0.54,0.46,2,1,1
1398,0.22,0.78,12,0,0
5754,0.5,0.5,5,0,0
8849,0.45,0.55,13,0,0
13348,0.05,0.95,31,0,0
8498,0.24,0.76,14,0,0
9183,0.98,0.02,29,1,1
4973,0.54,0.46,0,1,0
3833,0.49,0.51,4,0,0
20475,0.83,0.17,23,1,1
18055,0.5,0.5,11,0,1
13884,0.51,0.49,8,1,0
2311,0.0,1.0,31,0,0
13550,0.01,0.99,23,0,0
14314,1.0,0.0,35,1,1
6443,0.33,0.67,14,0,1
3361,0.21,0.79,14,0,1
17984,0.5,0.5,5,1,1
19432,0.07,0.93,29,0,0
12268,0.98,0.02,30,1,1
14729,0.49,0.51,6,0,0
20703,0.52,0.48,3,1,0
12098,0.55,0.45,3,1,1
16157,0.0,1.0,32,0,0
554,0.52,0.48,0,1,0
21010,0.06,0.94,30,0,0
13340,0.53,0.47,26,1,0
717,0.68,0.32,15,1,1
15170,0.91,0.09,22,1,1
470,0.4,0.6,7,0,1
10497,0.63,0.37,29,1,0
2951,0.68,0.32,20,1,1
3345,0.85,0.15,29,1,1
4814,0.98,0.02,30,1,1
7787,0.55,0.45,13,1,1
1181,0.69,0.31,21,1,1
9592,0.05,0.95,24,0,0
21471,0.63,0.37,19,1,0
9289,0.18,0.82,22,0,0
13837,0.21,0.79,12,0,0
3780,0.01,0.99,31,0,1
2984,0.53,0.47,3,1,0
1359,0.86,0.14,21,1,1
17609,0.0,1.0,36,0,0
14172,0.89,0.11,29,1,1
2463,0.64,0.36,8,1,1
3003,0.45,0.55,12,0,1
18816,0.99,0.01,26,1,1
8085,0.66,0.34,14,1,0
20558,0.95,0.05,31,1,1
10115,0.0,1.0,35,0,0
5601,0.37,0.63,8,0,1
6881,0.89,0.11,18,1,0
14895,0.84,0.16,19,1,0
12266,0.42,0.58,13,0,1
10819,0.64,0.36,17,1,1
15103,0.44,0.56,5,0,0
19189,0.47,0.53,14,0,1
21096,0.57,0.43,7,1,0
9588,0.33,0.67,22,0,0
13334,0.88,0.12,27,1,1
1827,0.01,0.99,26,0,0
16738,0.96,0.04,34,1,1
12591,0.44,0.56,6,0,1
16158,0.38,0.62,9,0,1
14803,0.42,0.58,10,0,1
18395,0.3,0.7,12,0,1
1530,1.0,0.0,32,1,1
1798,0.39,0.61,22,0,0
8486,0.27,0.73,13,0,0
8541,0.3,0.7,16,0,1
9488,0.52,0.48,0,1,0
85,0.6,0.4,15,1,0
5529,0.5,0.5,16,1,1
20755,0.51,0.49,6,1,0
5933,0.98,0.02,27,1,1
2794,0.0,1.0,35,0,0
14968,0.51,0.49,19,1,0
1428,0.38,0.62,20,0,1
10085,0.52,0.48,8,1,1
16463,0.01,0.99,32,0,0
21048,0.0,1.0,31,0,0
12437,0.91,0.09,33,1,1
9286,0.47,0.53,13,0,1
2996,0.56,0.44,11,1,0
11216,0.29,0.71,12,0,1
16306,0.34,0.66,13,0,1
213,1.0,0.0,29,1,1
2786,0.54,0.46,16,1,1
12224,0.58,0.42,18,1,1
2114,0.47,0.53,14,0,1
1675,0.66,0.34,16,1,0
15733,0.54,0.46,0,1,1
2349,0.04,0.96,34,0,0
7914,0.78,0.22,31,1,1
6793,0.95,0.05,33,1,1
8830,0.48,0.52,0,0,0
3631,0.32,0.68,10,0,1
18437,0.5,0.5,5,1,0
9140,0.59,0.41,7,1,0
8975,0.64,0.36,16,1,0
8231,0.99,0.01,32,1,1
5265,0.97,0.03,26,1,1
16246,0.91,0.09,21,1,1
3969,0.74,0.26,18,1,0
3821,0.63,0.37,5,1,1
8811,0.12,0.88,28,0,0
13067,0.54,0.46,0,1,0
15953,0.44,0.56,9,0,0
2782,0.91,0.09,27,1,1
11800,0.52,0.48,2,1,1
18281,0.08,0.92,25,0,0
4774,1.0,0.0,29,1,1
12378,0.65,0.35,18,1,0
19124,0.77,0.23,19,1,1
8538,0.63,0.37,1,1,1
7030,0.57,0.43,23,1,0
3871,0.05,0.95,27,0,0
6596,0.49,0.51,28,0,1
18174,0.06,0.94,26,0,0
4744,0.01,0.99,34,0,0
618,0.0,1.0,29,0,0
5232,0.51,0.49,7,1,0
10171,0.0,1.0,30,0,0
9055,0.39,0.61,13,0,0
9716,0.68,0.32,25,1,0
15696,0.38,0.62,20,0,0
21275,0.99,0.01,34,1,1
18759,0.91,0.09,21,1,1
3471,0.51,0.49,4,1,1
15417,0.77,0.23,25,1,1
19991,0.4,0.6,4,0,0
2278,0.99,0.01,35,1,1
7212,0.27,0.73,12,0,1
16589,0.61,0.39,15,1,0
13828,0.36,0.64,12,0,0
6610,0.01,0.99,34,0,0
4316,0.42,0.58,23,0,0
6426,0.4,0.6,2,0,1
13264,0.72,0.28,24,1,0
20172,0.53,0.47,16,1,1
21228,0.4,0.6,7,0,1
442,0.43,0.57,10,0,1
9746,0.4,0.6,7,0,0
6199,0.54,0.46,2,1,1
2371,0.72,0.28,20,1,1
2739,0.95,0.05,31,1,1
2877,0.99,0.01,21,1,1
3312,0.5,0.5,3,1,0
12723,0.12,0.88,24,0,1
4386,0.81,0.19,29,1,1
7285,0.44,0.56,6,0,1
4117,0.17,0.83,36,0,0
18361,0.76,0.24,17,1,1
16955,0.95,0.05,22,1,0
16950,0.42,0.58,10,0,0
13112,0.35,0.65,35,0,0
5714,0.97,0.03,33,1,1
7289,0.28,0.72,9,0,1
4954,0.43,0.57,13,0,1
4258,0.81,0.19,23,1,1
3347,1.0,0.0,28,1,1
16430,0.37,0.63,11,0,0
17506,0.23,0.77,14,0,1
11913,0.45,0.55,16,0,1
7024,0.64,0.36,7,1,1
5916,0.46,0.54,10,0,1
15347,0.31,0.69,20,0,1
18302,0.14,0.86,32,0,1
7964,0.36,0.64,9,0,0
2776,0.65,0.35,7,1,0
2182,0.45,0.55,13,0,1
21418,0.5,0.5,2,0,1
13483,0.45,0.55,0,0,1
17208,0.53,0.47,8,1,0
13292,0.7,0.3,36,1,1
19379,0.48,0.52,3,0,1
4088,0.68,0.32,19,1,0
12389,0.47,0.53,31,0,0
13632,0.9,0.1,23,1,1
8586,0.01,0.99,30,0,0
10503,0.98,0.02,25,1,1
21154,0.8,0.2,18,1,1
14608,0.49,0.51,2,0,1
17878,0.68,0.32,15,1,1
3609,0.88,0.12,34,1,1
8330,0.6,0.4,11,1,0
6995,0.71,0.29,18,1,0
12226,0.59,0.41,15,1,0
13190,0.92,0.08,20,1,1
1073,0.31,0.69,14,0,1
11921,0.48,0.52,3,0,1
9343,0.41,0.59,22,0,0
3058,0.98,0.02,33,1,1
3069,0.46,0.54,8,0,0
17252,0.26,0.74,12,0,1
14211,0.47,0.53,15,0,1
17138,0.99,0.01,26,1,1
14278,0.4,0.6,11,0,0
14252,1.0,0.0,35,1,1
5226,0.01,0.99,35,0,0
9219,0.9,0.1,35,1,1
11550,0.93,0.07,22,1,0
9712,0.99,0.01,26,1,1
19888,0.01,0.99,36,0,0
8211,0.94,0.06,25,1,1
19407,0.52,0.48,5,1,1
2220,0.13,0.87,33,0,0
10514,0.7,0.3,16,1,1
19785,0.72,0.28,17,1,0
19220,0.42,0.58,1,0,0
17178,0.42,0.58,11,0,0
420,0.97,0.03,34,1,1
7694,0.17,0.83,12,0,0
7771,0.93,0.07,28,1,1
19008,0.6,0.4,16,1,1
869,0.97,0.03,29,1,1
7770,0.02,0.98,32,0,0
17637,0.57,0.43,23,1,0
7597,0.03,0.97,22,0,0
11207,0.25,0.75,27,0,0
8275,0.63,0.37,9,1,1
10683,0.53,0.47,15,1,0
19289,0.35,0.65,9,0,1
18240,0.28,0.72,12,0,0
3019,0.05,0.95,33,0,0
9331,0.02,0.98,27,0,0
14970,0.36,0.64,12,0,1
2052,0.32,0.68,24,0,0
5729,0.6,0.4,6,1,0
11946,0.79,0.21,22,1,0
14576,0.58,0.42,17,1,1
3337,1.0,0.0,32,1,1
21309,0.88,0.12,27,1,1
10172,0.99,0.01,29,1,1
7668,0.57,0.43,7,1,0
4988,0.51,0.49,15,1,0
9907,0.59,0.41,0,1,1
14317,0.94,0.06,27,1,1
1638,0.56,0.44,16,1,0
20689,1.0,0.0,28,1,1
17677,0.01,0.99,32,0,0
14925,0.37,0.63,14,0,1
12264,0.71,0.29,18,1,1
11423,0.59,0.41,24,1,1
11146,0.3,0.7,12,0,1
16112,0.94,0.06,29,1,1
18864,0.11,0.89,26,0,0
11163,0.68,0.32,17,1,0
2447,0.45,0.55,24,0,1
11060,0.47,0.53,17,0,0
11936,0.77,0.23,15,1,1
17223,0.03,0.97,33,0,0
9419,0.62,0.38,4,1,0
4102,0.96,0.04,24,1,1
7081,0.83,0.17,17,1,0
7747,0.68,0.32,18,1,1
2370,0.37,0.63,35,0,0
1903,0.37,0.63,12,0,0
17350,0.52,0.48,3,1,1
13152,0.51,0.49,5,1,1
1225,0.54,0.46,3,1,1
18631,0.0,1.0,30,0,0
35,0.52,0.48,3,1,1
10350,0.51,0.49,5,1,1
11965,0.43,0.57,3,0,1
6337,0.63,0.37,18,1,1
19889,0.45,0.55,23,0,0
13530,0.03,0.97,35,0,0
11889,0.0,1.0,36,0,0
4424,0.53,0.47,0,1,1
21213,0.85,0.15,31,1,1
18581,0.89,0.11,30,1,1
11643,0.48,0.52,3,0,0
8136,0.49,0.51,5,0,0
20635,0.49,0.51,10,0,1
5473,0.52,0.48,4,1,0
17739,0.03,0.97,26,0,0
6440,0.51,0.49,10,1,0
9319,0.96,0.04,24,1,1
20588,0.52,0.48,5,1,0
18184,0.79,0.21,21,1,1
19330,0.54,0.46,5,1,1
2123,0.9,0.1,30,1,1
10156,0.9,0.1,21,1,1
7815,0.65,0.35,7,1,1
2556,0.33,0.67,32,0,0
20492,0.42,0.58,10,0,0
10901,0.09,0.91,29,0,0
12524,0.47,0.53,4,0,1
8325,0.3,0.7,11,0,1
18952,0.79,0.21,16,1,0
9624,0.99,0.01,29,1,1
4714,0.48,0.52,14,0,1
7595,0.5,0.5,15,1,0
9617,0.57,0.43,4,1,1
2028,0.96,0.04,23,1,1
16166,0.33,0.67,14,0,1
8055,0.71,0.29,16,1,1
5385,0.12,0.88,14,0,0
19709,0.55,0.45,5,1,0
5954,0.62,0.38,4,1,0
2879,0.47,0.53,24,0,0
17389,0.48,0.52,8,0,0
8051,0.56,0.44,0,1,1
8546,0.12,0.88,20,0,0
88,0.03,0.97,36,0,0
9949,0.9,0.1,21,1,1
8760,0.36,0.64,13,0,0
2620,0.58,0.42,17,1,0
12228,0.92,0.08,24,1,1
9926,0.49,0.51,20,0,0
6753,1.0,0.0,30,1,1
9142,0.04,0.96,34,0,0
3231,0.67,0.33,27,1,0
2717,0.02,0.98,34,0,0
14231,0.73,0.27,19,1,0
4797,0.49,0.51,1,0,0
20705,0.5,0.5,3,0,0
7829,0.35,0.65,2,0,0
5707,0.79,0.21,17,1,0
7259,0.01,0.99,32,0,0
1054,0.95,0.05,27,1,1
6157,0.42,0.58,15,0,0
2404,0.5,0.5,0,1,1
14589,0.47,0.53,10,0,1
14815,0.8,0.2,21,1,0
407,0.96,0.04,23,1,0
8729,0.43,0.57,9,0,0
1405,0.39,0.61,23,0,0
1455,0.73,0.27,33,1,1
953,0.0,1.0,32,0,0
10339,0.02,0.98,34,0,0
4639,0.23,0.77,23,0,0
13591,0.0,1.0,31,0,0
16366,0.02,0.98,21,0,0
18992,0.5,0.5,6,1,0
7400,0.06,0.94,35,0,0
13392,0.54,0.46,21,1,0
2843,0.0,1.0,30,0,0
16402,0.0,1.0,25,0,0
15118,0.79,0.21,17,1,0
8170,0.27,0.73,22,0,0
11813,0.47,0.53,4,0,1
9729,0.37,0.63,11,0,0
14941,0.55,0.45,6,1,0
4170,0.98,0.02,30,1,1
8876,0.42,0.58,11,0,0
13288,0.01,0.99,23,0,0
3809,1.0,0.0,35,1,1
7244,0.47,0.53,22,0,1
13856,0.45,0.55,7,0,1
7377,0.93,0.07,23,1,1
15400,0.82,0.18,18,1,1
7291,0.48,0.52,0,0,1
8573,0.38,0.62,8,0,1
9778,0.45,0.55,8,0,1
5844,1.0,0.0,34,1,1
4122,0.02,0.98,36,0,0
13842,0.55,0.45,0,1,0
8605,0.99,0.01,34,1,1
19140,0.81,0.19,27,1,1
1189,0.59,0.41,3,1,0
9080,0.51,0.49,4,1,0
21126,0.98,0.02,30,1,1
19644,0.98,0.02,27,1,1
10670,0.99,0.01,34,1,1
17702,0.9,0.1,36,1,1
17140,0.01,0.99,34,0,0
12700,0.43,0.57,4,0,0
17419,0.97,0.03,28,1,1
13788,0.65,0.35,15,1,0
1916,0.73,0.27,19,1,1
15899,0.0,1.0,29,0,0
14086,0.46,0.54,10,0,0
18782,1.0,0.0,36,1,1
15805,0.46,0.54,3,0,0
1084,0.28,0.72,9,0,0
12932,0.0,1.0,28,0,0
4253,0.47,0.53,10,0,1
15796,0.99,0.01,29,1,1
5313,0.62,0.38,18,1,0
15753,0.56,0.44,4,1,1
9513,0.36,0.64,19,0,0
15258,0.44,0.56,9,0,1
10325,0.52,0.48,5,1,0
11799,0.46,0.54,9,0,0
19351,0.49,0.51,9,0,0
13698,0.97,0.03,35,1,1
14162,0.55,0.45,0,1,1
6282,0.74,0.26,18,1,1
482,0.65,0.35,20,1,0
597,0.63,0.37,5,1,1
1385,0.55,0.45,15,1,0
20018,0.25,0.75,13,0,1
9375,0.43,0.57,2,0,0
18811,0.58,0.42,0,1,0
5747,0.81,0.19,30,1,0
16828,0.79,0.21,18,1,0
16759,0.5,0.5,8,1,1
2814,0.37,0.63,22,0,1
6735,0.46,0.54,13,0,0
6154,0.99,0.01,35,1,1
14693,0.45,0.55,12,0,0
1017,0.01,0.99,35,0,0
17618,0.53,0.47,8,1,0
2372,0.86,0.14,25,1,1
16399,0.35,0.65,26,0,1
13992,0.59,0.41,19,1,0
20500,0.5,0.5,5,1,0
8867,0.92,0.08,20,1,1
13472,0.51,0.49,10,1,1
15345,0.71,0.29,18,1,0
21160,0.52,0.48,5,1,1
6160,0.79,0.21,32,1,0
15761,0.5,0.5,7,1,1
16042,0.87,0.13,24,1,1
10696,0.98,0.02,26,1,1
3623,0.99,0.01,36,1,1
620,0.01,0.99,26,0,0
9520,0.99,0.01,24,1,1
2483,0.95,0.05,30,1,1
9448,0.65,0.35,18,1,1
2958,0.89,0.11,28,1,0
15895,0.33,0.67,13,0,0
3926,0.33,0.67,25,0,0
9467,0.01,0.99,35,0,0
18671,0.44,0.56,13,0,0
19571,0.89,0.11,24,1,1
1114,0.71,0.29,34,1,1
15523,0.57,0.43,7,1,0
18252,0.1,0.9,29,0,0
5988,0.0,1.0,32,0,0
6066,0.97,0.03,32,1,1
19202,0.98,0.02,27,1,0
1883,0.48,0.52,9,0,0
629,0.91,0.09,33,1,1
8221,0.38,0.62,13,0,1
16514,0.76,0.24,18,1,0
5962,0.12,0.88,25,0,0
1747,0.96,0.04,28,1,1
20667,0.11,0.89,22,0,0
20421,0.98,0.02,33,1,1
14994,0.68,0.32,21,1,1
6957,0.61,0.39,15,1,1
10681,0.94,0.06,33,1,1
19734,0.5,0.5,1,0,0
5033,0.65,0.35,1,1,1
2036,0.94,0.06,28,1,1
18612,0.53,0.47,2,1,1
941,0.52,0.48,7,1,0
20484,0.63,0.37,18,1,1
5773,0.5,0.5,20,0,1
2862,0.4,0.6,15,0,0
13063,0.49,0.51,3,0,0
7915,0.6,0.4,6,1,1
14213,0.5,0.5,1,0,0
13106,0.54,0.46,1,1,0
9479,0.37,0.63,14,0,1
11761,0.98,0.02,27,1,1
9940,0.02,0.98,26,0,0
2675,0.98,0.02,33,1,1
21007,0.37,0.63,7,0,0
11677,0.5,0.5,3,1,1
2784,0.49,0.51,7,0,1
5488,0.49,0.51,15,0,1
12261,0.47,0.53,15,0,0
20000,0.8,0.2,28,1,1
9118,0.95,0.05,21,1,1
21266,0.21,0.79,7,0,0
455,0.61,0.39,6,1,1
10859,0.69,0.31,15,1,1
3368,0.42,0.58,23,0,1
884,0.8,0.2,19,1,0
9765,0.46,0.54,2,0,1
613,0.44,0.56,2,0,0
2780,0.49,0.51,4,0,0
7826,0.97,0.03,33,1,1
5304,1.0,0.0,28,1,1
9594,0.5,0.5,3,1,0
8775,0.36,0.64,12,0,0
20426,0.14,0.86,32,0,0
555,0.28,0.72,13,0,1
5760,0.78,0.22,19,1,1
17163,0.96,0.04,36,1,1
8819,0.55,0.45,14,1,0
13453,0.47,0.53,5,0,1
9676,0.89,0.11,26,1,1
21409,0.38,0.62,9,0,1
7673,0.7,0.3,5,1,1
2360,0.99,0.01,28,1,1
15963,0.11,0.89,25,0,1
2073,0.3,0.7,21,0,0
15545,0.34,0.66,11,0,0
9835,0.99,0.01,24,1,1
16675,0.6,0.4,6,1,0
8387,0.73,0.27,16,1,1
1808,0.84,0.16,20,1,1
17075,0.5,0.5,6,1,1
4894,0.89,0.11,32,1,1
1604,0.59,0.41,2,1,1
16370,0.97,0.03,25,1,1
4330,0.58,0.42,17,1,1
3208,0.58,0.42,2,1,0
3244,0.68,0.32,22,1,1
1468,0.98,0.02,29,1,1
8839,0.57,0.43,3,1,0
5041,0.09,0.91,29,0,0
16219,0.36,0.64,14,0,0
18145,0.44,0.56,7,0,1
15261,0.08,0.92,32,0,0
9979,0.02,0.98,30,0,0
13607,0.58,0.42,19,1,0
8639,0.21,0.79,21,0,0
21438,0.36,0.64,6,0,0
10592,0.41,0.59,14,0,0
11689,0.32,0.68,14,0,0
2000,0.53,0.47,5,1,0
19913,0.26,0.74,35,0,0
8230,0.02,0.98,31,0,0
11324,0.98,0.02,28,1,1
10043,0.07,0.93,22,0,0
13207,0.43,0.57,2,0,0
2932,0.37,0.63,12,0,1
11028,0.97,0.03,29,1,0
20249,0.76,0.24,24,1,1
20270,0.44,0.56,1,0,1
12135,0.86,0.14,20,1,1
15573,0.17,0.83,21,0,0
8395,0.45,0.55,14,0,0
18423,0.61,0.39,17,1,0
19779,0.81,0.19,19,1,0
5489,0.36,0.64,16,0,0
9820,0.87,0.13,35,1,1
11278,0.01,0.99,26,0,0
17874,0.92,0.08,33,1,1
7051,0.78,0.22,19,1,0
11092,0.5,0.5,7,1,0
7310,0.54,0.46,9,1,1
14378,0.28,0.72,12,0,1
4398,0.99,0.01,24,1,1
1792,0.01,0.99,29,0,0
12691,0.12,0.88,26,0,0
11951,0.01,0.99,30,0,0
21353,0.96,0.04,27,1,1
16663,0.52,0.48,3,1,0
8068,0.59,0.41,15,1,1
16580,0.48,0.52,8,0,0
7214,0.39,0.61,29,0,0
19327,0.45,0.55,9,0,0
13764,0.06,0.94,30,0,0
7885,0.57,0.43,10,1,1
11681,0.97,0.03,29,1,0
5101,0.01,0.99,28,0,0
5377,0.37,0.63,4,0,0
4,0.59,0.41,7,1,1
3315,0.44,0.56,10,0,1
10308,0.01,0.99,27,0,0
9956,0.52,0.48,12,1,1
8391,0.41,0.59,8,0,1
20639,0.52,0.48,0,1,0
14536,0.96,0.04,22,1,1
10161,0.09,0.91,34,0,0
7632,0.34,0.66,9,0,1
17962,0.53,0.47,19,1,0
17810,0.48,0.52,14,0,0
6055,0.41,0.59,11,0,1
15016,0.03,0.97,26,0,1
11327,0.66,0.34,19,1,0
17621,0.51,0.49,20,1,0
2078,0.43,0.57,5,0,0
5692,0.68,0.32,2,1,1
21456,0.49,0.51,4,0,0
9568,0.47,0.53,16,0,1
16681,0.16,0.84,31,0,0
19118,0.12,0.88,24,0,0
10258,0.64,0.36,7,1,1
12626,0.51,0.49,4,1,1
4501,0.49,0.51,7,0,1
6643,0.63,0.37,22,1,0
14948,0.59,0.41,5,1,0
5576,0.98,0.02,29,1,1
8736,0.25,0.75,31,0,0
19618,0.5,0.5,10,1,0
19641,0.84,0.16,21,1,0
2797,0.97,0.03,34,1,1
18865,0.31,0.69,33,0,0
16072,0.46,0.54,26,0,0
20195,0.62,0.38,10,1,0
4835,0.63,0.37,15,1,1
16420,0.94,0.06,36,1,1
14838,0.87,0.13,22,1,1
5418,0.5,0.5,3,0,0
6485,0.71,0.29,19,1,1
11574,0.34,0.66,11,0,0
19691,0.42,0.58,13,0,1
13685,0.37,0.63,10,0,0
1012,0.49,0.51,3,0,1
14875,0.5,0.5,2,0,0
17005,0.01,0.99,30,0,0
8301,0.61,0.39,5,1,1
10033,0.77,0.23,36,1,0
12699,0.99,0.01,27,1,1
7040,0.42,0.58,15,0,1
1544,0.18,0.82,22,0,0
13512,0.42,0.58,9,0,1
11483,0.52,0.48,1,1,1
7863,0.09,0.91,24,0,0
16783,1.0,0.0,31,1,1
12238,0.6,0.4,15,1,1
20210,0.02,0.98,23,0,0
4593,0.57,0.43,6,1,0
2206,0.69,0.31,19,1,1
16283,0.69,0.31,27,1,1
6741,0.3,0.7,4,0,0
20493,0.92,0.08,27,1,1
18150,0.51,0.49,5,1,0
14350,0.4,0.6,6,0,0
10545,0.95,0.05,24,1,1
20975,0.39,0.61,9,0,0
11840,0.43,0.57,6,0,1
13611,0.34,0.66,21,0,1
19117,0.49,0.51,9,0,0
1732,0.05,0.95,22,0,0
8620,0.57,0.43,17,1,0
792,0.88,0.12,32,1,1
12252,0.4,0.6,13,0,1
7251,0.95,0.05,24,1,1
12086,0.95,0.05,35,1,1
10553,0.41,0.59,6,0,1
13367,0.93,0.07,28,1,1
644,0.6,0.4,10,1,1
4173,0.64,0.36,2,1,0
4510,0.02,0.98,32,0,0
13050,0.49,0.51,3,0,1
8419,0.49,0.51,6,0,1
11602,0.54,0.46,3,1,1
310,0.36,0.64,8,0,1
12741,0.62,0.38,17,1,1
16435,0.48,0.52,2,0,1
16342,0.55,0.45,2,1,1
17595,0.23,0.77,33,0,0
9379,0.03,0.97,32,0,0
13337,0.53,0.47,15,1,1
3810,0.56,0.44,0,1,1
10828,0.46,0.54,3,0,0
12733,0.97,0.03,25,1,1
19808,0.63,0.37,29,1,1
2935,0.94,0.06,33,1,1
12563,0.88,0.12,34,1,1
687,0.97,0.03,31,1,1
20310,0.49,0.51,1,0,0
17081,0.74,0.26,16,1,0
15706,0.32,0.68,9,0,0
11259,0.33,0.67,13,0,1
14683,0.46,0.54,0,0,0
15654,0.42,0.58,9,0,0
8069,0.48,0.52,10,0,0
4712,0.79,0.21,15,1,1
6540,0.84,0.16,25,1,1
4696,0.95,0.05,34,1,1
18058,0.4,0.6,8,0,1
18552,0.52,0.48,8,1,0
4788,0.39,0.61,2,0,0
370,0.04,0.96,29,0,1
19093,0.85,0.15,18,1,1
387,0.48,0.52,2,0,1
6951,0.83,0.17,21,1,1
5281,0.98,0.02,31,1,1
5118,0.49,0.51,1,0,1
3577,0.44,0.56,5,0,1
18044,0.01,0.99,36,0,0
8369,0.91,0.09,20,1,1
3525,0.04,0.96,32,0,0
7101,0.43,0.57,2,0,1
2578,0.37,0.63,14,0,1
9841,0.49,0.51,6,0,1
21123,0.57,0.43,20,1,0
5149,0.01,0.99,24,0,0
8840,0.59,0.41,2,1,1
4784,0.47,0.53,0,0,1
4209,0.85,0.15,20,1,1
17358,0.34,0.66,10,0,1
1622,0.05,0.95,27,0,0
19414,0.63,0.37,19,1,0
18937,0.41,0.59,13,0,0
14159,0.47,0.53,11,0,0
3427,0.98,0.02,35,1,1
12731,0.89,0.11,26,1,1
20455,0.53,0.47,19,1,0
1332,0.02,0.98,27,0,0
8982,0.57,0.43,27,1,1
20678,0.84,0.16,22,1,1
20438,0.19,0.81,24,0,0
17523,0.31,0.69,34,0,1
4617,0.48,0.52,4,0,1
14820,0.65,0.35,20,1,1
17938,0.01,0.99,33,0,0
21272,0.56,0.44,10,1,0
16648,0.59,0.41,22,1,0
11900,0.89,0.11,24,1,0
5761,0.41,0.59,7,0,0
9862,0.3,0.7,10,0,1
14573,0.46,0.54,10,0,0
12125,0.47,0.53,8,0,0
15922,0.47,0.53,15,0,0
6113,0.42,0.58,13,0,0
